price,quantity,type,timestamp
91004000,0.142,1,2024-04-28 00:00:59
91005000,0.1411,1,2024-04-28 00:00:59
91006000,0.003,1,2024-04-28 00:00:59
90938000,0.1393,0,2024-04-28 00:01:04
90937000,0.328,0,2024-04-28 00:01:04
90921000,0.9183,0,2024-04-28 00:01:04
90920000,0.328,0,2024-04-28 00:01:04
90900000,1.8005,0,2024-04-28 00:01:04
91001000,0.002,1,2024-04-28 00:01:04
91002000,0.1419,1,2024-04-28 00:01:04
91003000,0.1422,1,2024-04-28 00:01:04
91004000,0.142,1,2024-04-28 00:01:04
91006000,0.003,1,2024-04-28 00:01:04
90937000,0.3088,0,2024-04-28 00:01:10
90921000,0.9182,0,2024-04-28 00:01:10
90920000,0.328,0,2024-04-28 00:01:10
90900000,1.8005,0,2024-04-28 00:01:10
90885000,0.0001,0,2024-04-28 00:01:10
91000000,0.142,1,2024-04-28 00:01:10
91001000,0.142,1,2024-04-28 00:01:10
91002000,0.1419,1,2024-04-28 00:01:10
91003000,0.0002,1,2024-04-28 00:01:10
91005000,0.0001,1,2024-04-28 00:01:10
90938000,0.124,0,2024-04-28 00:01:15
90937000,0.309,0,2024-04-28 00:01:15
90921000,0.9182,0,2024-04-28 00:01:15
90920000,0.328,0,2024-04-28 00:01:15
90900000,1.8005,0,2024-04-28 00:01:15
90999000,0.142,1,2024-04-28 00:01:15
91000000,0.142,1,2024-04-28 00:01:15
91001000,0.142,1,2024-04-28 00:01:15
91003000,0.0002,1,2024-04-28 00:01:15
91005000,0.0001,1,2024-04-28 00:01:15
90937000,0.2895,0,2024-04-28 00:01:20
90921000,0.0182,0,2024-04-28 00:01:20
90920000,0.328,0,2024-04-28 00:01:20
90900000,2.7005,0,2024-04-28 00:01:20
90885000,0.0001,0,2024-04-28 00:01:20
90997000,0.002,1,2024-04-28 00:01:20
90998000,0.1419,1,2024-04-28 00:01:20
90999000,0.142,1,2024-04-28 00:01:20
91000000,0.142,1,2024-04-28 00:01:20
91003000,0.0002,1,2024-04-28 00:01:20
90938000,0.0011,0,2024-04-28 00:01:25
90937000,0.0006,0,2024-04-28 00:01:25
90926000,0.1379,0,2024-04-28 00:01:25
90925000,0.3282,0,2024-04-28 00:01:25
90921000,0.0182,0,2024-04-28 00:01:25
90996000,0.0016,1,2024-04-28 00:01:25
90997000,0.142,1,2024-04-28 00:01:25
90998000,0.1419,1,2024-04-28 00:01:25
91003000,0.0002,1,2024-04-28 00:01:25
91005000,0.0001,1,2024-04-28 00:01:25
90926000,0.1363,0,2024-04-28 00:01:30
90925000,0.3282,0,2024-04-28 00:01:30
90921000,0.0182,0,2024-04-28 00:01:30
90900000,2.7005,0,2024-04-28 00:01:30
90895000,0.328,0,2024-04-28 00:01:30
90995000,0.1441,1,2024-04-28 00:01:30
90996000,0.142,1,2024-04-28 00:01:30
90997000,0.1422,1,2024-04-28 00:01:30
91002000,0.328,1,2024-04-28 00:01:30
91003000,0.0002,1,2024-04-28 00:01:30
90951000,0.1379,0,2024-04-28 00:01:35
90950000,0.3282,0,2024-04-28 00:01:35
90927000,0.0208,0,2024-04-28 00:01:35
90926000,0.9,0,2024-04-28 00:01:35
90925000,0.0002,0,2024-04-28 00:01:35
90994000,0.1421,1,2024-04-28 00:01:35
90995000,0.142,1,2024-04-28 00:01:35
90996000,0.142,1,2024-04-28 00:01:35
90997000,0.0002,1,2024-04-28 00:01:35
91003000,0.0002,1,2024-04-28 00:01:35
90951000,0.0785,0,2024-04-28 00:01:40
90950000,0.3211,0,2024-04-28 00:01:40
90937000,0.328,0,2024-04-28 00:01:40
90927000,1.8,0,2024-04-28 00:01:40
90926000,0.9,0,2024-04-28 00:01:40
90992000,0.002,1,2024-04-28 00:01:40
90993000,0.1421,1,2024-04-28 00:01:40
90994000,0.142,1,2024-04-28 00:01:40
90995000,0.142,1,2024-04-28 00:01:40
90997000,0.0002,1,2024-04-28 00:01:40
90950000,0.3211,0,2024-04-28 00:01:45
90937000,0.328,0,2024-04-28 00:01:45
90927000,1.8,0,2024-04-28 00:01:45
90926000,0.9,0,2024-04-28 00:01:45
90925000,0.0002,0,2024-04-28 00:01:45
90991000,0.0021,1,2024-04-28 00:01:45
90992000,0.142,1,2024-04-28 00:01:45
90993000,0.142,1,2024-04-28 00:01:45
90994000,0.142,1,2024-04-28 00:01:45
90997000,0.0002,1,2024-04-28 00:01:45
90950000,0.3159,0,2024-04-28 00:01:50
90938000,0.0011,0,2024-04-28 00:01:50
90937000,0.328,0,2024-04-28 00:01:50
